,,,,,,,,,,,
,kanji,kana,furigana,romaji,english,jlpt_level,kanji_breakdown,example_sentence,tags,priority_group,category
,はじめまして,はじめまして,はじめまして,hajimemashite,nice to meet you,n5,―,はじめまして、タンです。,"greeting, intro",p0,expression
,こんにちは,こんにちは,こんにちは,konnichiwa,hello / good afternoon,n5,―,こんにちは、サラさん。,greeting,p0,expression
,こんばんは,こんばんは,こんばんは,konbanwa,good evening,n5,―,こんばんは、やまださん。,greeting,p0,expression
,おはようございます,おはようございます,おはようございます,ohayou gozaimasu,good morning,n5,早 = early,おはようございます、せんせい。,greeting,p0,expression
,さようなら,さようなら,さようなら,sayounara,goodbye,n5,―,では、さようなら。,farewell,p0,expression
,おやすみなさい,おやすみなさい,おやすみなさい,oyasuminasai,good night,n5,休 = rest,おやすみなさい、またあした。,farewell,p0,expression
,すみません,すみません,すみません,sumimasen,excuse me / i’m sorry,n5,済 = finish,すみません、にほんごは？,"apology, polite",p0,expression
,ごめんなさい,ごめんなさい,ごめんなさい,gomennasai,sorry,n5,―,ごめんなさい、ちがいます。,apology,p0,expression
,ありがとう ございます,ありがとうございます,ありがとうございます,arigatou gozaimasu,thank you,n5,"有 = exist, 難 = hardship",どうもありがとうございます。,gratitude,p0,expression
,どうぞ,どうぞ,どうぞ,douzo,please (go ahead / here you are),n5,―,コーヒーをどうぞ。,offering,p0,expression
,はい,はい,はい,hai,yes,n5,―,はい、そうです。,response,p0,expression
,いいえ,いいえ,いいえ,iie,no,n5,―,いいえ、ちがいます。,response,p0,expression
,わたし,わたし,わたし,watashi,i (formal),n5,私 = private,わたしは サラです。,pronoun,p0,noun
,あのひと,あのひと,あのひと,ano hito,that person (over there),n5,人 = person,あのひとは せんせいです。,pronoun,p0,noun
,どなた,どなた,どなた,donata,who (polite),n5,方 = person,あのかたは どなたですか。,question,p0,expression
,ひと,ひと,ひと,hito,person,n5,人 = person,にほんじんです。,people,p0,noun
